Timestamp,P(UP),P(DOWN),Momentum,Prediction,Actual Outcome,Correct?,Market Ticker,Volume
2026-02-22 15:29:00,0.9767,0.0233,0.0667,UP,UP,Correct,KXBTC15M-26FEB221830-30,144738
2026-02-22 15:30:00,0.5050,0.4950,0,UP,DOWN,Incorrect,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:31:00,0.4950,0.5050,-0.01,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:32:00,0.4100,0.5900,-0.085,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:33:00,0.3975,0.6025,-0.0125,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:34:00,0.4425,0.5575,0.045,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:35:00,0.4300,0.5700,-0.0125,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:36:00,0.3667,0.6333,-0.0633,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:37:00,0.2990,0.7010,-0.0677,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:38:00,0.3750,0.6250,0.076,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:39:00,0.3775,0.6225,0.0025,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:40:00,0.2217,0.7783,-0.1558,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:41:00,0.2858,0.7142,0.0642,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:42:00,0.1390,0.8610,-0.1468,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:43:00,0.0308,0.9692,-0.1082,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:44:00,0.0050,0.9950,-0.0258,DOWN,DOWN,Correct,KXBTC15M-26FEB221845-45,125964
2026-02-22 15:45:00,0.5500,0.4500,0,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:46:00,0.5375,0.4625,-0.0125,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:47:00,0.5533,0.4467,0.0158,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:48:00,0.6230,0.3770,0.0697,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:49:00,0.7225,0.2775,0.0995,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:50:00,0.8800,0.1200,0.1575,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:51:00,0.9170,0.0830,0.037,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:52:00,0.9300,0.0700,0.013,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:53:00,0.9200,0.0800,-0.01,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:54:00,0.9175,0.0825,-0.0025,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:55:00,0.9650,0.0350,0.0475,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
2026-02-22 15:56:00,0.9750,0.0250,0.01,UP,UP,Correct,KXBTC15M-26FEB221900-00,91789
